variation_id,Rsh,Ra,Ca,Rb,Cb,resnorm,condition_number,pc1_sensitivity,pc2_sensitivity,pc3_sensitivity,pc1_rsh_component,pc1_ra_component,pc1_ca_component,pc1_rb_component,pc1_cb_component,pc2_rsh_component,pc2_ra_component,pc2_ca_component,pc2_rb_component,pc2_cb_component,pc3_rsh_component,pc3_ra_component,pc3_ca_component,pc3_rb_component,pc3_cb_component
variation_000,25.88,5011.87,25.88,25.88,2.69e-05,0.0,inf,147029.4965583512,3.6129244318011726,0.18966613035501145,-5.146708303613994e-06,1.4761525333698492e-12,1.4293637786643514e-10,-1.2212166098281876e-06,-0.9999999999860101,0.9548376577849074,1.0397167859353712e-08,1.0089124608048302e-06,0.29712799808662643,-5.277128548362913e-06,-0.2971279980770515,-6.533782935075563e-08,-6.316602811123463e-06,0.9548376577820381,3.631675266686014e-07
variation_001,20.989613252890006,5011.869086411976,30.926555920962308,26.21570456437142,2.4956461648200244e-05,1.281796781518212,inf,119385.88346164775,3.9521286987674333,0.1372738262805151,-6.481866707796989e-06,1.2048140261588519e-12,9.762321322012023e-11,-1.2034255723962776e-06,-0.9999999999782687,0.9734508539147553,5.933776191983941e-09,4.816476894378996e-07,0.22889612266055742,-6.585238129194696e-06,-0.22889612265922862,-5.460227344854313e-08,-4.417979314953579e-06,0.9734508539273837,3.121985054968778e-07
variation_002,29.35014156293999,5011.871071881421,25.04461278737959,24.406521611860736,2.8191132676082108e-05,0.3857226894787578,inf,155868.29021823392,3.406775379476452,0.20003857264742006,-4.436102798587112e-06,1.7154055950577771e-12,1.7165621999031125e-10,-1.4359559958708344e-06,-0.9999999999891293,0.9188963957510956,1.338383246585466e-08,1.342007303060611e-06,0.39449894024228876,-4.642801991228732e-06,-0.39449894022358833,-7.763415851624982e-08,-7.75644690682687e-06,0.9188963957389932,4.3054306239308007e-07
variation_003,23.912743499871425,5011.870615708935,22.740925323645865,20.861043291254187,2.6135856977672666e-05,1.795740668271025,inf,109064.87221913601,3.6240173522438086,0.10020846595975268,-5.154855112705384e-06,2.5925928050518262e-12,2.857165138324568e-10,-2.022059677989984e-06,-0.9999999999846694,0.8950663449192799,1.0549904347852886e-08,1.1660948430981084e-06,0.44593299738980824,-5.515640457176194e-06,-0.44593299733775127,-1.2527368069059074e-07,-1.3773133267835149e-05,0.8950663448568578,4.888424222615758e-07
variation_004,28.353697572835536,5011.869458450265,30.403277516280188,27.48201209990176,2.625302337635089e-05,1.0136241400467259,inf,170975.11787265918,3.536554240771075,0.22391090857993606,-4.524938280098217e-06,1.1138867605266455e-12,9.17982834597315e-11,-1.0076205750531461e-06,-0.9999999999892548,0.9582648084906209,9.660306278439126e-09,7.974388672118263e-07,0.28588206796931975,-4.624149768111309e-06,-0.2858820679653179,-5.0701758429524474e-08,-4.173703773112665e-06,0.9582648084941573,3.280313751621587e-07
variation_005,24.2180210028031,5011.87022368612,24.917516277109264,25.634038123913946,2.9213330943641096e-05,0.48828481421905523,inf,136144.2698826262,3.653387486931352,0.20762442534815373,-6.103506998445756e-06,1.5613066393947828e-12,1.569834268564881e-10,-1.1982834885768234e-06,-0.9999999999806559,0.9677397503563389,1.084991142123678e-08,1.093103201154613e-06,0.2519519310116726,-6.208516177768865e-06,-0.2519519310027227,-6.274160339119131e-08,-6.300251285057429e-06,0.9677397503586176,3.7816380907102873e-07
variation_006,22.16658719870715,5011.870464295441,20.932063919750167,26.82629754279015,2.8618375845942313e-05,0.8017748572384628,inf,129357.80178832429,3.8342860345797085,0.20108526669767252,-6.916812817613655e-06,1.6961987369224236e-12,2.0302224836152667e-10,-1.0177549713918015e-06,-0.9999999999755612,0.9814318050881924,1.0959311862595545e-08,1.314599657050619e-06,0.19181139671779981,-6.9835970915306145e-06,-0.19181139670371689,-6.755651075020841e-08,-8.07343121764065e-06,0.9814318050834082,3.278664269478051e-07
variation_007,27.313828528710978,5011.86883994744,19.79977489767577,22.09619292599781,2.3416789447728323e-05,0.7273148116251963,inf,131097.21159695816,3.5758140854298053,0.09987137917588737,-3.937691930884647e-06,2.6556534729809174e-12,3.360966218011202e-10,-1.7294643279729543e-06,-0.9999999999907521,0.8717893546049734,1.2473023612613415e-08,1.5842269595286594e-06,0.48988092550804146,-4.280069492186765e-06,-0.4898809254010353,-1.4740630190133628e-07,-1.860547271145863e-05,0.8717893544783984,4.2127157071929476e-07
variation_008,27.68551625890662,5011.86871579802,30.356203312044848,30.34315865869297,2.659543253723819e-05,1.5335561876821489,inf,183941.5187859778,3.635040508890397,0.28033213400278434,-4.923120456620014e-06,9.132694600380323e-13,7.538522627862866e-11,-6.030814285658559e-07,-0.9999999999876996,0.9849006065598126,9.30631247154214e-09,7.693638985580023e-07,0.17312075315509443,-4.953190235022188e-06,-0.17312075315262898,-3.938450213970021e-08,-3.24763514990527e-06,0.9849006065676129,2.583190562653064e-07
variation_009,26.26146274917145,5011.870819260039,30.187613665617505,26.150215198178643,2.4005973583748503e-05,0.1736046874336439,inf,150810.14866384663,3.66029783730084,0.15522571340530927,-4.5268230359963905e-06,1.241118319019454e-12,1.0303342242297288e-10,-1.2177493194567793e-06,-0.9999999999890125,0.9447931960296095,7.978422450362092e-09,6.635266801299189e-07,0.3276672347273237,-4.675928156119968e-06,-0.32766723472202725,-6.153922068470443e-08,-5.101242019912031e-06,0.9447931960294184,3.3277031426665996e-07
variation_010,25.93332995401857,5011.86983330227,28.12457021481266,28.32728909890084,2.5494906181799425e-05,0.5984182603518817,inf,160956.23742885215,3.7015191175450344,0.20802067139322122,-5.044135739443157e-06,1.1329825965625738e-12,1.0096375235420742e-10,-9.203559907798583e-07,-0.9999999999868548,0.971848938999565,8.861675983984885e-09,7.910665005546871e-07,0.23560483810522756,-5.1189782907419046e-06,-0.23560483810093072,-5.141785754446547e-08,-4.57557256870574e-06,0.971848939003593,2.939757906474565e-07
variation_011,22.46609471302805,5011.8709528822565,27.44142304839008,26.05691388491065,2.3373768575487492e-05,0.8769961050744547,inf,127892.75295751366,3.874999776157045,0.12684130490592138,-5.493909293028735e-06,1.3756773495556858e-12,1.2562041915488674e-10,-1.2290766504871287e-06,-0.9999999999841532,0.962339338277873,6.8802015783717565e-09,6.296677911141176e-07,0.2718510584325753,-5.621130821951517e-06,-0.271851058426369,-6.742270793966656e-08,-6.146622084091782e-06,0.9623393382765667,3.107362449200435e-07
variation_012,27.015422750952517,5011.870045549468,22.364069615363714,25.80553634555279,2.8064796946767782e-05,0.2589810608510969,inf,152916.90799939615,3.528374138633186,0.2134634653416186,-5.04756393200408e-06,1.7172929743195153e-12,1.9240735842544026e-10,-1.2049604222078228e-06,-0.9999999999865351,0.9530856675299363,1.3392820941242501e-08,1.5039296650274136e-06,0.302700694283922,-5.1755031957014116e-06,-0.30270069426425245,-7.384267347768574e-08,-8.261150188611382e-06,0.9530856675155409,3.7947059664656454e-07
variation_013,25.797635882816394,5011.870967454693,26.10636687174439,29.699173985720762,2.940191091517533e-05,0.8654990493015737,inf,167236.11161654696,3.675364872007608,0.30625729743576635,-5.952363192698375e-06,1.1065592886289786e-12,1.0621474682886128e-10,-4.925171669433879e-07,-0.9999999999821634,0.9919049122891282,1.099963802551207e-08,1.0572769011375537e-06,0.12698285293683215,-5.966719525539456e-06,-0.12698285293220582,-4.278960608167984e-08,-4.102189301358788e-06,0.9919049122997108,2.673178621834113e-07
