Ca,Cb,Eout_rail,Ra,Rb,Rs,RsolA,RsolB,Va_rail,chamber,circuitValuesKnown,constrain_min_and_max_f,cross_section,data_location,detrendSignals,filterSignals,fpass,fs,high_RSME,idx_best_absEr,idx_best_absEr1000,idx_best_absZr,idx_best_absZr1000,idx_best_absnone,import_error,include_in_analysis,manually_validated,meas_ID,meas_idx,n_freqs,normalization_method,p_1,p_2,p_3,p_4,p_5,p_6,p_7,pg_absEr_1,pg_absEr_2,pg_absEr_3,pg_absEr_4,pg_absEr_5,pg_absEr_6,pg_absEr_7,pg_absEr1000_1,pg_absEr1000_2,pg_absEr1000_3,pg_absEr1000_4,pg_absEr1000_5,pg_absEr1000_6,pg_absEr1000_7,pg_absZr_1,pg_absZr_2,pg_absZr_3,pg_absZr_4,pg_absZr_5,pg_absZr_6,pg_absZr_7,pg_absZr1000_1,pg_absZr1000_2,pg_absZr1000_3,pg_absZr1000_4,pg_absZr1000_5,pg_absZr1000_6,pg_absZr1000_7,pg_absnone_1,pg_absnone_2,pg_absnone_3,pg_absnone_4,pg_absnone_5,pg_absnone_6,pg_absnone_7,pgmax_absEr_1,pgmax_absEr_2,pgmax_absEr_3,pgmax_absEr_4,pgmax_absEr_5,pgmax_absEr_6,pgmax_absEr_7,pgmax_absEr1000_1,pgmax_absEr1000_2,pgmax_absEr1000_3,pgmax_absEr1000_4,pgmax_absEr1000_5,pgmax_absEr1000_6,pgmax_absEr1000_7,pgmax_absZr_1,pgmax_absZr_2,pgmax_absZr_3,pgmax_absZr_4,pgmax_absZr_5,pgmax_absZr_6,pgmax_absZr_7,pgmax_absZr1000_1,pgmax_absZr1000_2,pgmax_absZr1000_3,pgmax_absZr1000_4,pgmax_absZr1000_5,pgmax_absZr1000_6,pgmax_absZr1000_7,pgmax_absnone_1,pgmax_absnone_2,pgmax_absnone_3,pgmax_absnone_4,pgmax_absnone_5,pgmax_absnone_6,pgmax_absnone_7,pgmin_absEr_1,pgmin_absEr_2,pgmin_absEr_3,pgmin_absEr_4,pgmin_absEr_5,pgmin_absEr_6,pgmin_absEr_7,pgmin_absEr1000_1,pgmin_absEr1000_2,pgmin_absEr1000_3,pgmin_absEr1000_4,pgmin_absEr1000_5,pgmin_absEr1000_6,pgmin_absEr1000_7,pgmin_absZr_1,pgmin_absZr_2,pgmin_absZr_3,pgmin_absZr_4,pgmin_absZr_5,pgmin_absZr_6,pgmin_absZr_7,pgmin_absZr1000_1,pgmin_absZr1000_2,pgmin_absZr1000_3,pgmin_absZr1000_4,pgmin_absZr1000_5,pgmin_absZr1000_6,pgmin_absZr1000_7,pgmin_absnone_1,pgmin_absnone_2,pgmin_absnone_3,pgmin_absnone_4,pgmin_absnone_5,pgmin_absnone_6,pgmin_absnone_7,predicted_TER,remove_last_NOVA_meas,resnormbest_absEr,resnormbest_absEr1000,resnormbest_absZr,resnormbest_absZr1000,resnormbest_absnone,signal_buffer_end,signal_buffer_start,total_guesses,vpipette_gain_adjust
1.07e-06,1.01e-06,0,9837,994,10029,0.4,0.28,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,172,161,163,466,277,0,1,0,20221219_174120,1,111,max,0.4,0.28,9837,1.07e-06,994,1.01e-06,10029,22.9256229428023,0.00100000000004646,9400.8727780485,1.06172088830585e-06,941.880325781206,9.1368617559622e-07,10439.358294405,0.00100000000042007,0.00100000005825011,10820.1767012789,1.04555496958592e-06,987.593488262282,9.93075123645975e-07,9313.23813719306,0.00100000002420017,42.2944422961023,11878.4750623793,1.03826908724321e-06,960.379851763827,1.06855485868694e-06,8675.19740676779,0.00100000006976049,2.60345752700318,11209.4475335737,1.0445643034893e-06,999.707334446889,1.01512362073537e-06,9073.4508468242,1.30721709829267,1.30691589301359,923.380608302561,1.15428477891175e-06,32277.7264778818,9.36649398132708e-07,6168.94118627892,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,5207.971419,1,0.426631829704446,0.00117791466594461,0.0087979683197652,0.000601842645342065,8.40726354983185e-05,5.902,5.98,500,1
9.2e-08,2.34e-06,0,988,98.9,1000.9,0.35,0.28,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,494,294,429,158,496,0,1,0,20221018_175706,2,111,max,0.35,0.28,988,9.2e-08,98.9,2.34e-06,1000.9,0.00100000000718644,0.0010000003270093,683.470969168104,1.02748861695857e-07,51.7049946549332,3.19052643370857e-07,1794.30354862653,0.00100000000000005,0.00100000000000195,1099.226322898,9.17318389408835e-08,93.1882977860487,2.78963325767096e-06,926.574062239552,0.00100000000000008,24.4768065907753,764.692592170469,9.82598545513368e-08,27.0890096741734,1.56685515324242e-05,1350.85507209311,0.0010001430657029,7.28205832905379,1077.11740106433,9.41351858679319e-08,76.0029194699256,3.58028869652011e-06,927.860680046388,0.887578454886824,1.01967769674963,187.394260016756,7.02792354995703e-07,4526.75490934331,1.00665267662564e-07,583.841228706644,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,521.6943788,1,0.0484404690212152,0.00494785194474263,0.504631402648713,0.0290805015341461,0.00190389778754965,5.902,5.98,500,10
2.35e-06,1.01e-06,0,988,9790,10029,0.35,0.28,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,316,60,210,217,323,0,1,0,20221019_174312,3,111,max,0.35,0.28,988,2.35e-06,9790,1.01e-06,10029,39.445856953079,0.0010000000000998,988.04572376404,2.5456463800668e-06,10811.0373980046,1.00948270966501e-06,9173.17395045168,6.12879355198984,4.81955294444055,993.130866947394,2.35679298981525e-06,9802.71928151594,1.01719277111377e-06,9956.98763940363,6.6560637147116,0.0610179043687504,999.403632897907,2.36580764427934e-06,9932.23103272605,1.01540023077505e-06,9852.59928631447,0.00100000000000005,22.4440458222295,1005.92841400399,2.35183849763639e-06,9777.16269658691,1.0232509760313e-06,9946.38533504746,7.33731879291712,1.96887078161836,9905.89097438386,1.01218228940438e-06,974.473011581122,2.35822061274381e-06,9892.06934485367,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,5195.639468,1,0.421004203507654,0.0457307185079841,0.485847538440848,0.0705032297635667,0.000363631843352649,5.902,5.98,500,10
2.35e-06,2.34e-06,0,988,9790,10029,99.2,98.7,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,66,418,303,406,49,0,1,0,20221214_182550,3,111,max,99.2,98.7,988,2.35e-06,9790,2.34e-06,10029,105.15633546322,105.465923606425,995.98562956835,2.35927328321111e-06,9819.0051686622,2.35602509801224e-06,9959.08717090318,97.2854082783486,104.200194198893,995.523444959515,2.29916337220754e-06,9581.648043083,2.35850255636232e-06,10193.7077811807,109.472328958659,112.113028310618,989.408187562946,2.35815996485155e-06,9637.74207797313,2.36705281348325e-06,10102.7467113055,96.6683029492818,104.43070632454,993.414901955666,2.29318799905544e-06,9465.84441633748,2.36137988550972e-06,10304.5600698822,159.829800956158,44.502509673674,876.340326771146,2.85819750774173e-06,100532.405815379,1.99025562846937e-06,5466.15156156205,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,5392.909468,1,0.0228207117610908,0.000300687728785157,0.0377827649538125,0.000490439753048729,4.46661662427025e-05,5.902,5.98,500,1
9.2e-08,1.01e-06,0,99.2,98.9,100.3,99.2,98.7,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,67,21,374,357,452,0,1,0,20221209_155944,1,111,max,99.2,98.7,99.2,9.2e-08,98.9,1.01e-06,100.3,0.00107138922518636,114.155820163765,316.019857715943,6.09675202975316e-09,42.2457863486139,3.47106607901989e-06,265.036359368889,134.117469741559,121.823932591187,19.970399620726,5.46565063364819e-05,499998.415789435,1.35824149267723e-05,10.4518625951603,117.670636246721,118.079069456788,38.4653881758069,2.77916856043105e-07,31.9200616722505,6.07761635551258e-06,54.7690173185601,134.09559189238,107.564885996448,37.3209341018426,1.00018787483434e-11,124216.071891901,1.97316633239624e-06,24.6974721500919,0.00129782493385552,0.00113149696881036,1223.23724391316,1.89819984672004e-09,211.659227414128,7.32045418879823e-07,327.269709919001,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,264.4865617,1,0.78963872234282,1.59094343311032,0.826715905149373,1.59626332600775,0.786928605858656,5.902,5.98,500,1
1.07e-06,2.34e-06,0,9837,994,100.3,0.4,98.7,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,202,417,146,160,436,0,1,0,20221117_174837,1,111,max,0.4,98.7,9837,1.07e-06,994,2.34e-06,100.3,17.7182468326381,82.5061569079469,3553.31152826682,1.46367266533475e-06,1113.39493287492,1.53306944755344e-06,100.971531814964,3.56010407041168,90.940833250591,7569.49850511295,1.02801795967302e-06,1223.82256562778,1.8515530040917e-06,105.212587039585,12.5062557524031,87.8183709734631,4850.30450114563,1.30898550925067e-06,1095.3932828713,1.75924032907912e-06,100.378223754762,0.00100000000000005,96.7239057894606,10704.8937788313,1.00081686477497e-06,1020.96690331432,2.2513148018886e-06,102.708448065684,62.9889955954859,35.8730774106223,1266.95761936578,7.21693536442257e-07,499999.998752394,0.000999999999999948,108.086570147032,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,198.4796987,1,0.320481388239785,0.0430566895772732,0.259927129321603,0.0484338979599507,0.0229680181725243,5.902,5.98,500,1
9.2e-08,1.01e-06,0,99.2,994,100.3,0.4,98.7,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,201,479,355,452,184,0,1,0,20221026_162033,1,111,max,0.4,98.7,99.2,9.2e-08,994,1.01e-06,100.3,0.0010000009439194,86.7784691376773,133.188758570176,5.68846391234015e-08,1147.79643496129,7.86184827914981e-07,113.3142055195,0.00100000000000005,90.9613598872278,119.541482102068,4.36408702167324e-08,965.670675074843,8.838950553015e-07,110.001451863439,0.00100000000197961,88.3604549477601,127.927409073264,5.97555430744617e-08,1104.55395600148,8.10660647008883e-07,111.842219155847,10.9302749169344,91.5084758597069,93.671308578089,1.38099473361706e-07,499999.999713765,8.98041429835377e-07,88.3973852989551,2.55694711128934,18.086559176013,170.301844384932,1.31177141201135e-08,77.476512071769,2.40116824070533e-06,545.028627502694,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,190.9709342,1,0.177093995843946,0.185283839991298,0.156226540105881,0.174928166640065,0.085076708924775,5.902,5.98,500,10
9.2e-08,9.2e-08,0,99.2,994,10029,99.2,0.28,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,75,52,489,353,73,0,1,0,20221121_170209,3,111,max,99.2,0.28,99.2,9.2e-08,994,9.2e-08,10029,101.499662891666,2.15816279471593,100.710124879192,9.94070119193775e-08,998.519053049749,9.23812705880918e-08,9192.48331586518,41.4019782339679,70.266355310529,190.697319489144,2.20329127201293e-07,1048.14242052729,1.02480129596695e-07,4545.87124203631,0.00100000003498613,0.00100000116120218,241.633849268537,2.05862531855089e-08,1130.15884360939,9.28822179397807e-08,5272.30146829605,35.4425872928108,88.6739401677796,200.829912483643,2.49191276358066e-07,1038.06389022921,1.05511951439103e-07,4286.21880998574,52.0515141832164,49.660277843361,882.561912566695,9.45343408921204e-08,103.493553292628,9.24932589612971e-08,421553.64107529,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,1085.229474,1,0.000744264645726529,0.00139497864714845,0.0303980480460675,0.00162130371578028,0.000662299233211719,5.902,5.98,500,1
1.07e-06,2.34e-06,0,9837,994,1000.9,99.2,0.28,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,20,203,116,172,429,0,1,0,20221206_173434,2,111,max,99.2,0.28,9837,1.07e-06,994,2.34e-06,1000.9,98.3907860530786,0.00100000000003125,10522.2319980178,1.05092389804753e-06,949.849837943308,2.34670090773132e-06,995.430885543582,94.1547653617461,8.53550404768747,12224.3833973857,1.03788379307557e-06,954.448719056094,2.50349823654214e-06,980.254646290189,108.771297073193,11.2397239069117,12670.1477274132,1.05794684668464e-06,963.499715533432,2.70401568822863e-06,962.831442310907,99.289896036645,3.3533191506802,11471.3994972758,1.04888448789994e-06,973.169236552622,2.44024446210862e-06,984.645089029819,76.4014036865223,26.6046350119211,151156.563123964,9.07907415041399e-07,648.051974430917,3.82860631567417e-06,917.330902613001,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,1015.710521,1,0.0165674591001324,0.000681238342991202,0.438649873495634,0.00391976261512401,0.000621210426588156,5.902,5.98,500,1
9.2e-08,2.34e-06,0,988,994,10029,99.2,0.28,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,382,384,492,271,306,0,1,0,20221129_184504,3,111,max,99.2,0.28,988,9.2e-08,994,2.34e-06,10029,92.3373626024269,12.4324586475971,961.96466148141,9.2457986123338e-08,912.791926096803,2.52158158076007e-06,14014.9771858589,109.737538249696,0.00100000009686492,968.580255912228,9.40173613426978e-08,959.599504996847,2.42192211066094e-06,11327.415211805,113.834632815096,35.9412798965889,935.785737876741,1.03823157484251e-07,689.843524620206,3.80348588229598e-06,499999.999999973,49.4259109650991,0.00100000000000008,1038.01899550446,7.76588740463883e-08,698.478631510902,3.67177962079367e-06,499999.999999958,50.8683686004537,50.8683697278339,1222.01600008188,9.45249555070307e-08,2286.2982588579,1.42209306000865e-06,3133.04276083719,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,1754.419472,1,0.0410887618895536,0.00545521128980114,1.95111054013823,0.891380860102762,0.002803403485562,5.902,5.98,500,1
1.07e-06,1.01e-06,0,9837,98.9,100.3,99.2,0.28,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,413,92,183,44,263,0,1,0,20230103_153205,1,111,max,99.2,0.28,9837,1.07e-06,98.9,1.01e-06,100.3,99.8384805551431,0.00100000002224854,499999.997501579,1.00991198299167e-06,89.1437769488799,1.09347639438662e-06,99.3437403108567,100.335744789726,0.00100000000000006,499999.999999713,1.04063867647348e-06,87.4887687397349,1.01740332494885e-06,98.6706071095373,97.4595363114328,1.36217815266184,7773.0278347525,1.02913197915597e-06,95.0208884561528,1.00600446110078e-06,101.640708350512,98.2189052940493,0.00100000000604664,3717.53522351427,1.05533532330411e-06,97.3165373003568,9.36163271223578e-07,103.497702272129,29.6963659500069,69.1392954778788,94.2847649092401,1.03063916099081e-06,250463.630309709,1.00706112390007e-06,100.37670385599,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,198.7776196,1,0.0571698189243399,0.064435270509239,0.661729595168397,0.682839109053257,0.0324184948568216,5.902,5.98,500,1
9.2e-08,1.01e-06,0,99.2,9790,1000.9,99.2,98.7,0,model,1,1,1,Miller HDD,1,0,NaN,20100,0,24,372,31,24,470,0,1,0,20221212_154031,2,111,max,99.2,98.7,99.2,9.2e-08,9790,1.01e-06,1000.9,108.872900790684,99.4794444219199,92.8431329775076,1.09605368682651e-07,46857.2277531087,1.01428407778959e-06,914.8469452366,0.00100000118173487,99.9632218199119,213.294614677015,2.40022758312534e-08,1725.82775674636,1.01586447367179e-06,2088.79566723013,104.610740793557,97.5755423527079,105.190846296809,2.55639466608472e-07,14011.6788482196,1.02430179652521e-06,965.210298998633,0.00100000000000744,94.9548810733255,218.167982847435,1.79227986994763e-08,1789.93859134077,1.0019448814948e-06,2033.05639450065,172.276374838079,35.8545612167568,86.2281156103456,1.06854272237605e-07,825.166838956229,1.23069507327317e-06,59340.8899088542,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,250,250,500000,0.001,500000,0.001,500000,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,0.001,0.001,1,1e-11,1,1e-11,1,1106.808117,1,0.000999310717819009,0.000941501442905403,0.0706332849734545,0.00150874542619551,0.000844582222719539,5.902,5.98,500,1
